Age,Height,Weight,Bmi,BmiClass
61,1.85,109.3,31.935719503287068,Obese Class 1
60,1.71,79.02,27.02369959987689,Overweight
60,1.55,74.7,31.09261186264308,Obese Class 1
60,1.46,35.9,16.841808969787955,Underweight
60,1.58,97.1,38.89601025476686,Obese Class 2
59,1.71,79.32,27.126295270339593,Overweight
59,1.7,73.32,25.370242214532873,Overweight
59,1.72,85.32,28.83991346673878,Overweight
59,1.46,36.0,16.88872208669544,Underweight
59,1.83,104.7,31.26399713338708,Obese Class 1
58,1.71,79.31,27.122875414657504,Overweight
58,1.7,73.41,25.401384083044984,Overweight
58,1.72,85.21,28.80273120605733,Overweight
58,1.47,36.0,16.65972511453561,Underweight
57,1.71,79.3,27.119455558975414,Overweight
57,1.7,73.5,25.432525951557096,Overweight
57,1.72,85.1,28.76554894537588,Overweight
57,1.75,110.0,35.91836734693877,Obese Class 2
57,1.58,79.7,31.925973401698442,Obese Class 1
57,1.47,36.0,16.65972511453561,Underweight
57,1.6,99.1,38.71093749999999,Obese Class 2
56,1.71,79.29,27.116035703293328,Overweight
56,1.7,73.59,25.463667820069208,Overweight
56,1.72,84.99,28.728366684694432,Overweight
56,1.59,75.8,29.982991179146392,Overweight
56,1.47,36.1,16.706002128742657,Underweight
56,1.8,98.5,30.401234567901234,Obese Class 1
56,1.59,98.0,38.764289387286894,Obese Class 2
55,1.72,79.28,26.798269334775558,Overweight
55,1.71,73.68,25.197496665640713,Overweight
55,1.73,84.88,28.36045307227104,Overweight
55,1.72,95.0,32.11195240670633,Obese Class 1
55,1.7,160.0,55.36332179930796,Obese Class 3
55,1.48,36.1,16.48100803506209,Underweight
54,1.72,79.32,26.811790156841536,Overweight
54,1.71,73.82,25.245374645189973,Overweight
54,1.61,78.1,30.1300104162648,Obese Class 1
54,1.48,36.2,16.526661796932068,Underweight
54,1.61,100.3,38.69449481115697,Obese Class 2
53,1.72,79.31,26.808409951325043,Overweight
53,1.62,76.3,29.073311995122687,Overweight
53,1.49,36.2,16.305571821089142,Underweight
53,1.62,101.7,38.7517146776406,Obese Class 2
52,1.72,79.3,26.805029745808547,Overweight
52,1.71,74.0,25.3069320474676,Overweight
52,1.6,73.0,28.515624999999993,Overweight
52,1.49,36.3,16.350614837169495,Underweight
52,1.64,105.1,39.07644259369423,Obese Class 2
51,1.72,79.29,26.801649540292054,Overweight
51,1.71,74.09,25.337710748606412,Overweight
51,1.63,70.2,26.421769731642144,Overweight
51,1.5,36.4,16.177777777777777,Underweight
51,1.75,91.2,29.779591836734696,Overweight
51,1.7,107.3,37.1280276816609,Obese Class 2
50,1.73,79.28,26.489358147616024,Overweight
50,1.72,74.18,25.074364521362902,Overweight
50,1.74,84.38,27.870260272162767,Overweight
50,1.8,135.0,41.666666666666664,Obese Class 3
50,1.62,46.0,17.527815881725342,Underweight
50,1.63,72.5,27.287440249915317,Overweight
50,1.5,36.5,16.22222222222222,Underweight
50,1.84,106.9,31.574905482041586,Obese Class 1
50,1.66,110.5,40.10015967484396,Obese Class 3
49,1.73,79.02,26.40248588325704,Overweight
49,1.72,74.02,25.020281233098974,Overweight
49,1.74,84.02,27.751354207953494,Overweight
49,1.6,75.0,29.296874999999993,Overweight
49,1.6,44.0,17.187499999999996,Underweight
49,1.64,77.9,28.96341463414635,Overweight
49,1.51,36.6,16.051927547037412,Underweight
49,1.63,103.2,38.842259776431185,Obese Class 2
48,1.74,79.01,26.096578147707756,Overweight
48,1.73,74.11,24.761936583247017,Normal Weight
48,1.75,83.91,27.399183673469388,Overweight
48,1.63,100.0,37.63784862057285,Obese Class 2
48,1.58,42.0,16.82422688671687,Underweight
48,1.68,79.5,28.167517006802726,Overweight
48,1.51,36.7,16.095785272575764,Underweight
48,1.69,110.9,38.82917264801653,Obese Class 2
47,1.74,79.0,26.09327520147972,Overweight
47,1.73,74.2,24.792007751678973,Normal Weight
47,1.75,83.8,27.363265306122447,Overweight
47,1.55,40.0,16.649323621227886,Underweight
47,1.65,75.3,27.658402203856753,Overweight
47,1.52,36.8,15.92797783933518,Underweight
